NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
FR412;FR412;5515;55333;no;Ménil-aux-Bois;Ménil-aux-Bois;42;6710000;3
FR412;FR412;5515;55380;no;Neuville-en-Verdunois;Neuville-en-Verdunois;74;13440000;3
FR412;FR412;5515;55384;no;Nicey-sur-Aire;Nicey-sur-Aire;105;11010000;3
FR412;FR412;5515;55404;no;Pierrefitte-sur-Aire;Pierrefitte-sur-Aire;271;17560000;3
FR412;FR412;5515;55448;no;Rupt-devant-Saint-Mihiel;Rupt-devant-Saint-Mihiel;52;6320000;3
FR412;FR412;5515;55467;no;Sampigny;Sampigny;735;20530000;3
FR412;FR412;5515;55506;no;Thillombois;Thillombois;37;13030000;3
FR412;FR412;5515;55555;no;Ville-devant-Belrain;Ville-devant-Belrain;28;6120000;3
FR412;FR412;5515;55570;no;Villotte-sur-Aire;Villotte-sur-Aire;178;13960000;3
FR412;FR412;5515;55584;no;Woimbey;Woimbey;107;15300000;3
FR412;FR412;5516;55011;no;Andernay;Andernay;244;4320000;3
FR412;FR412;5516;55049;no;Beurey-sur-Saulx;Beurey-sur-Saulx;435;11620000;3
FR412;FR412;5516;55069;no;Brabant-le-Roi;Brabant-le-Roi;237;11080000;3
FR412;FR412;5516;55125;no;Contrisson;Contrisson;745;11820000;3
FR412;FR412;5516;55134;no;Couvonges;Couvonges;152;4560000;3
FR412;FR412;5516;55272;no;Laimont;Laimont;451;10770000;3
FR412;FR412;5516;55340;no;Mognéville;Mognéville;389;18570000;3
FR412;FR412;5516;55366;no;Val-d'Ornain;Val-d'Ornain;988;24160000;3
