beneficiary,beneficiary_address,project_title,project_description,total_amount,status,funding_agency
Pauleschitz Matthias,"7021 Draßburg, Baumgartnerstraße 39","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Weiterbildung für LKW Lenker/innen Modul 1-5,367.5,A,Wirtschaft Burgenland GmbH
Pauschenwein Hubert,"7203 Wiesen, Schanzgasse 9","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",MAG/MIG - Schweißen II; WIG-Schweißen II; Schweißwerkmeisterlehrgang - International Welding Specialist (ISW); Schweißtechnikerlehrgang - International Welding Technologist (IWT),4137,A,Wirtschaft Burgenland GmbH
Pauschenwein Hubert,"7203 Wiesen, Schanzgasse 9","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",ZfP Kombikurs - Eindringprüfung (PT) Stufe 1+2,862.5,A,Wirtschaft Burgenland GmbH
Pauser Dagmar,"7035 Steinbrunn, Wiener Neustädter Straße 2","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Vorbereitungskurs Befähigungsprüfung Gastgewerbe inkl. HACCP - Modul 2,667.5,A,Wirtschaft Burgenland GmbH
Payer & Reinfeld GmbH,"7343 Neutal, Werner v. Siemensstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Grundlagen der Bilanzierung,665.29,A,Arbeitsmarktservice Burgenland
Payer & Reinfeld GmbH,"7343 Neutal, Werner v. Siemensstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Modul 2 Rechtslehre,676.27,A,Arbeitsmarktservice Burgenland
Payer & Reinfeld GmbH,"7343 Neutal, Werner v. Siemensstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Modul 3 Steuerrecht,930.7,A,Arbeitsmarktservice Burgenland
Payer & Reinfeld GmbH,"7343 Neutal, Werner v. Siemensstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Modul 1 Bilanzierung,843.7,A,Arbeitsmarktservice Burgenland
Payer & Reinfeld GmbH,"7343 Neutal, Werner v. Siemensstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Rechtslehre,367.73,A,Arbeitsmarktservice Burgenland
Payer & Reinfeld GmbH,"7343 Neutal, Werner v. Siemensstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Modul 3 Steuerrecht,1503.7,A,Arbeitsmarktservice Burgenland
Payer & Reinfeld GmbH,"7343 Neutal, Werner v. Siemensstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Modul 1 Bilanzierung,1328.55,A,Arbeitsmarktservice Burgenland
Payer & Reinfeld GmbH,"7343 Neutal, Werner v. Siemensstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Buchhaltung 1,243.75,A,Arbeitsmarktservice Burgenland
Payer & Reinfeld GmbH,"7343 Neutal, Werner v. Siemensstraße 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: IFRS-Akademie,1711.02,A,Arbeitsmarktservice Burgenland
Payer Christian,"7062 Sankt Margarethen im Burgenland, Mühlgasse 6","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Bewegungslehrer C-/B-/A-Trainer,1477.5,A,Wirtschaft Burgenland GmbH
Payer Christian,"7062 Sankt Margarethen im Burgenland, Mühlgasse 6","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Diplomlehrgang Mentalcoach NLP Practitioner, Teil 1-3 (Modul 1-7)",2595,A,Wirtschaft Burgenland GmbH
Peck Sabina,"7163 Andau, Hauptgasse 20","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Therapeutic Touch Basiskurs,525,A,Wirtschaft Burgenland GmbH
Peischl Fahrzeugbau Gesellschaftm.b.H.,"7551 Stegersbach, Wiener Strasse 45",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Schweißerausbildung,2163,A,Arbeitsmarktservice Burgenland
Peischl Günther,"7542 Gerersdorf bei Güssing, Nr. 96","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Zertifikationslehrgang für ModeratorInnen und ProzessbegleiterInnen,1950,A,Wirtschaft Burgenland GmbH
Pelinka Alfred,"7071 Rust, Greinergasse 25","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Personalverrechnungs-Lehrgang,1867.5,A,Wirtschaft Burgenland GmbH
Pelzmann Eduard,"7551 Bocksdorf, Sportgasse 32","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Tageslicht Architektur - Universitätslehrgang Master of Science, MSc",3825,A,Wirtschaft Burgenland GmbH
Penias Silvia,"7061 Trausdorf an der Wulka, Lerchengasse 24","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbilder-Training,270,A,Wirtschaft Burgenland GmbH
Perschy Mathilde,"7161 Sankt Andrä am Zicksee, Kirchengasse 33","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Professional Stone Massage (Basiskurs),245.8,A,Wirtschaft Burgenland GmbH
Perschy Mathilde,"7161 Sankt Andrä am Zicksee, Kirchengasse 33","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Einnahmen-/Ausgabenrechnung,232.5,A,Wirtschaft Burgenland GmbH
Perschy Mathilde,"7161 Sankt Andrä am Zicksee, Kirchengasse 33","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",SHÓNISHIN 1+2 - Kinderakupunktur ohne Nadeln,442.5,A,Wirtschaft Burgenland GmbH
Perschy Mathilde,"7161 Sankt Andrä am Zicksee, Kirchengasse 33","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Akupunkt-Massage nach Penzel - Kurs B,412.5,A,Wirtschaft Burgenland GmbH
Perschy Mathilde,"7161 Sankt Andrä am Zicksee, Kirchengasse 33","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Lehrgang Massage,3637.5,A,Wirtschaft Burgenland GmbH
Perschy Monika,"7132 Frauenkirchen, Kindergartengasse 5","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildung zum/zur Nageldesigner/in,1012.5,A,Wirtschaft Burgenland GmbH
Pertl Lisa,"7411 Markt Allhau, Buchschachen 243","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildung zum/zur MediatorIn,2202.5,A,Wirtschaft Burgenland GmbH
Pertl Lisa,"7411 Buchschachen, Bergenstraße 33","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Coaching-Lehrgang,3600,A,Wirtschaft Burgenland GmbH
Pertl Lisa,"7411 Buchschachen, Bergenstraße 33","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Upgrade ""Akademische/r MediatorIn""",1655.25,A,Wirtschaft Burgenland GmbH
Peter Müllner & Co. GmbH,"7201 Neudörfl, Hauptstraße 127","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Gebäudebeurteilung im Rahmen der Inspektion von Heizanlagen,300,A,Wirtschaft Burgenland GmbH
Peter Rosenlehner GmbH,"7551 Stegersbach, Hauptstraße 26",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Elektrotechnische Sicherheitsvorschriften,1226.25,A,Arbeitsmarktservice Burgenland
Peter Stangl GmbH,"7400 Oberwart, Steinamangererstraße 160","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildung zur/zum geprüften EinrichtungsberaterIn,3487.5,A,Wirtschaft Burgenland GmbH
PETRAKOVITS Bau GmbH,"7503 Großpetersdorf, Siebensterngasse 32",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Polier- u. FacharbeiterInnenschulung,280,A,Arbeitsmarktservice Burgenland
PETRONCZKI Leder & Accessoires,"7350 Oberpullendorf, Hauptstraße 39",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Seminar Sales Power,3055.56,A,Arbeitsmarktservice Burgenland
PEW Technik + Service GmbH,"7423 Pinkafeld, Tuchmachergasse 3","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",AutoCAD 1 - Grundlagen; AutoCAD 2 - Aufbau,399,A,Wirtschaft Burgenland GmbH
Pfaffeneder Kristallinenergie KG,"7540 Güssing, Tschanigraben 31","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Geistiges Sehen Teil 2 (Grundlagentraining 2),324,A,Wirtschaft Burgenland GmbH
Pflegekompetenzzentrum Lackenbach,"7322 LACKENBACH, Lisztgasse 2",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Weiterbildung zum/r Akademischen WundmanagerIn,1800,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Lackenbach,"7322 LACKENBACH, Lisztgasse 2",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Sicherheitsvertrauensperson,162,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Lackenbach,"7322 LACKENBACH, Lisztgasse 2",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Brandschutzbeauftragtenseminar,198,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Lackenbach,"7322 LACKENBACH, Lisztgasse 2",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Sturzprophylaxe,757.24,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Lackenbach,"7322 LACKENBACH, Lisztgasse 2",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Schmerzmanagement,323.41,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Lackenbach,"7322 LACKENBACH, Lisztgasse 2",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Hebe- und Lagerungstechnik -Inkontinenzversorgung,496.83,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Lackenbach,"7322 LACKENBACH, Lisztgasse 2",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Weiterbildung für Hygiene in Alten- und Pflegeheimen gem. § 64 GuKG,2714.54,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Lackenbach,"7322 LACKENBACH, Lisztgasse 2",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Hebe- und Lagerungstechnik - Inkontinenzversorgung,160.21,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Lackenbach,"7322 LACKENBACH, Lisztgasse 2",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Praxisanleitung,2155.93,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Brandschutzbeauftragtenseminar,198,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Spiritualität in der Pflege,532.83,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Seniorentanz,161,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Brandschutzbeauftragtenseminar,198,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Sicherheitsvertrauensperson,162,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Umgang mit Sterbenden und Ihren Angehörigen,275.41,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Hebe- und Lagerungstechnik -Inkontinenzversorgung,1242.08,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Schmerzmanagement,323.41,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Weiterbildung zum Zertifizierten Wundmanager Modul1+2,1739.37,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Begegnung und Begleitung von verwirrten Menschen,326.41,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Weiterbildung für Hygiene in Alten- und Pflegeheimen gem. §64 GuKG,2929.54,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Ausbildung zum/r Validationsanwender/in nach Naomi Feil,1364.11,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Basales und mittleres Pflegemanagement gem. § 64 GuKG,1461.57,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Olbendorf,"7534 OLBENDORF, Dorf 731",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Ausbildung in der Pflegehilfe,9576.57,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Konflikte erkennen und bewältigen,733.6,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Einführung von Pflegediagnosen,556.4,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kinästhetik Grundkurs,1239.37,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Grundkurs- Psychobiographisches Pflegemodell nach Prof.E. Böhm,335.62,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kinästhetik Aufbaukurs,383.5,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Basales und mittleres Pflegemanagement,8584.93,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kinästhetik Teil 1,514.8,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Weiterbildung für basales und mittleres Management,8584.93,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Brandschutzbeauftragtenseminar,198,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Praxisanleitung,1367.3,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Weppersdorf,"7331 WEPPERSDORF, Hauptstraße 57",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Brandschutzbeauftragtenseminar,814.28,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Brandschutzbeauftragtenseminar,473.57,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Ernährungspräventive und ernährungstherapeutische Maßnahmen,624.93,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Freiheitsbeschränkungen,239.59,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Sicherheitsvertrauensperson,360.46,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Umgang mit Sterbenden und ihren Angehörigen,567.33,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Hebe- und Lagerungstechnik-Inkontinenzversorgung,508.83,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Weiterbildung für Hygiene in Alten- und Pflegeheimen gem. § 64 GuKG,2714.54,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Ausbildung zum/r Validationsanwender/in nach Naomi Feil,2643.61,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Umgang mit Sterbenden und ihren Angehörigen,533.19,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Branschutzbeauftragtenseminar,452.57,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,"Qualifizierungsförderung für Beschäftigte: Palliativ. Hosbizbegleitung, Umgang mit sterbenden und krebskranken Menschen",296.41,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Draß burg,"7021 DRASSBURG, Waldgasse 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,"Qualifizierungsförderung für Beschäftigte: Palliativ, Hospizbegleitung, Umgang mit sterbenden und Krebskranken Menschen",296.41,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Ausbildung zum Wundbehandlungsmanager,2160,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Einführung von Pflegediagnosen,834.59,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Praxisanleiter,1201.94,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kinästhetik Grundkurs,1239.37,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Grundkurs- Psychobiographisches Pflegemodell nach Prof.E. Böhm,2013.75,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kinästhetik Aufbaukurs,531,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kinästhetik Teil 1,594,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Umgang mit Sterbenden und Ihren Angehörigen,198,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung - Pflege,Qualifizierungsförderung für Beschäftigte: Verkürzte berufsbegleitende Ausbildung für Pflegehelfer,8820.71,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Kinästhetik Aufbauseminar,531,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Basiskurs zum WM Modul 2,477,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: BAGS-KV & seine Satzung+Arbeitsrecht in Pflegeeinrichtungen,282.07,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: BAGS-KV & seine Satzung+Arbeitsrecht in Pflegeeinrichtungen,449.66,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigte,"Qualifizierungsförderung für Beschäftigte: Lerngang EU- Heimleiterin mit E-Qualin Qualifikation, 4. Semester",2772.71,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Umgang mit Sterbenden und ihren Angehörigen,275.41,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Schmerzmanagement,646.83,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kinästhetik Grundkurs,396.62,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Demenzfortbildung,537.99,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Ausbildung zum/r Validationsanwender/in nach Naomi Feil,2426.7,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Lerngang Pflegemanagement,3831.97,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Basales und mittleres Pflegemanagement gem. § 64 GuKG,4194.91,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Heimhelfer/in,840,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Weiterbildung Hygiene in Alten- und Pflegeheimen gem. §64 GuKG,2630.74,A,Arbeitsmarktservice Burgenland
Pflegekompetenzzentrum Strem,"7522 STREM, Kapellenstraße 24",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Brandschutzbeauftragtenseminar,924.54,A,Arbeitsmarktservice Burgenland
Pflegezentrum Raiding Franz Drescher GmbH.,"7321 Raiding, Neugasse 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: HACCP,326.41,A,Arbeitsmarktservice Burgenland
Pflegezentrum Raiding Franz Drescher GmbH.,"7321 Raiding, Neugasse 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: HeimleiterInnen mit E-Qalin Qualifikation,6414.28,A,Arbeitsmarktservice Burgenland
