NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA;;
DE11A;DE11A;081275009;08127056;no;Michelbach an der Bilz;Michelbach an der Bilz;3376;17684700;3;;
DE11A;DE11A;081275009;08127059;no;Michelfeld;Michelfeld;3679;35218700;3;;
DE11A;DE11A;081275009;08127076;no;Schwäbisch Hall, Stadt;Schwäbisch Hall, Stadt;37096;104228700;2;;
DE11A;DE11A;081275009;08127100;no;Rosengarten;Rosengarten;5047;31011100;3;;
DE11A;DE11A;n.a.;08127008;no;Blaufelden;Blaufelden;5148;90179100;3;;
DE11A;DE11A;n.a.;08127052;no;Mainhardt;Mainhardt;5791;58691300;3;;
DE11A;DE11A;n.a.;08127075;no;Schrozberg, Stadt;Schrozberg, Stadt;5730;105213500;3;;
DE11B;DE11B;081285001;08128006;no;Assamstadt;Assamstadt;2155;17196300;3;;
DE11B;DE11B;081285001;08128007;no;Bad Mergentheim, Stadt;Bad Mergentheim, Stadt;22287;129970100;2;;
DE11B;DE11B;081285001;08128058;no;Igersheim;Igersheim;5556;42827600;2;;
DE11B;DE11B;081285002;08128014;no;Boxberg, Stadt;Boxberg, Stadt;6612;101812100;3;;
DE11B;DE11B;081285002;08128138;no;Ahorn;Ahorn;2173;53956300;3;;
DE11B;DE11B;081285003;08128047;no;Grünsfeld, Stadt;Grünsfeld, Stadt;3639;44720300;3;;
DE11B;DE11B;081285003;08128137;no;Wittighausen;Wittighausen;1630;32362700;3;;
