beneficiary,city
"Szin,Szinpetri Községi Közoktatási Intézményi Társulás nevében eljáró Szin Község Önkormányzata","Szinpetri, Szin"
Orosháza Város Önkormányzata,Orosháza
Ludányhalászi Község Önkormányzata,Ludányhalászi
Tiszakarád Községi Önkormányzata,Tiszakarád
Magyargéc Község Önkormányzata,Magyargéc
Nagyberki-Mosdós-Kercseliget-Csoma-Szabadi-Kapospula-Baté-Kaposkeresztúr Önkormányzatok Közoktatási Intézményi Társulása nevében eljáró Nagyberki Községi Önkormányzat,"Szabadi, Mosdós, Kaposkeresztúr, Baté, Kapospula, Csoma, Kercseliget, Nagyberki"
Tevel Községi Önkormányzat,Tevel
Lepsény Nagyközségi Önkormányzat,Lepsény
"Eger-Demjén-Egerbakta-Egerszalók Int.fenntartó Mikro-társ, Eger-Andornaktálya Int.fenntartó Mikro-társ, Eger-Ostoros Int.fenntartó Mikro-társ, Eger-Egerszólát Int.fenntartó Mikro-társ, valamint saját nevében eljáró Eger Megyei Jogú Város Önkormányzat","Egerbakta, Egerszalók, Demjén, Andornaktálya, Ostoros, Egerszólát, Eger"
Gyulai Református Egyházközség,Gyula
"Hencida-Váncsod Közoktatási Intézménytársulás nevében eljáró Hencida Község Önkormányzata, mint gesztor","Váncsod, Hencida"
Mindszent Város Önkormányzata,Mindszent
Apagy Község Önkormányzata,Apagy
Rácalmás Nagyközség Önkormányzata Változás: Rácalmás Város Önkormányzata 2009.09.29-es változásbejelentés elfogadása alapján,Rácalmás
Zalacsány-Ligetfalva-Tilaj-Almásháza községek Önkorányzatainak Intézményfenntartó Társulása nevében eljáró Zalacsány Város Önkormányzata mint gesztor,"Zalacsány, Almásháza, Tilaj, Ligetfalva"
"Tarnaméra Községi Önkormányzat Zaránk Községi Önkormányzat Általános Iskolai Szolgálatot és Óvodai Szolgálatot Fenntartó Társulás nevében eljáró Tarnaméra Község Önkormányzata, mint gesztor","Tarnaméra, Zaránk"
"Komárom Város Önkormányzata 2900. Komárom, Szabadság tér 1.",Komárom
Szakcs Község Önkormányzata,Szakcs
"Látrány, Somogybabod, Somogytúr és Visz Önkormányzati Társulás nevében eljáró Látrány Község Önkormányzata","Somogytúr, Látrány, Somogybabod, Visz"
Zagyvarékas Községi Önkormányzat,Zagyvarékas
Kótaj Község Önkormányzata,Kótaj
Mezőtárkány-Egerfarmos-Sarud Intézményfenntartó Mikrotársulás nevében eljáró Mezőtárkány Községi Önkormányzat mint gesztor,"Sarud, Mezőtárkány, Egerfarmos"
"Kaba, Báránd, Sáp és Tetétlen Települések Közoktatási Intézményi Társulása nevében eljáró Tetétlen Község Önkormányzata","Sáp, Báránd, Tetétlen, Kaba"
Nyírgelse Község Önkormányzata,Nyírgelse
Perkáta Nagyközség Önkormányzata (Nagykarácsony),"Nagykarácsony, Perkáta"
Ajka város Önkormányzata,Ajka
Géberjén Község Önkormányzata,Géberjén
Mihályi Mikroközpontú Iskolafenntartó Társulás nevében eljáró Mihályi Község Önkormányzata,Mihályi
Sajókeresztúr Község Önkormányzata,Sajókeresztúr
Bátaszék-Alsónyék-Pörböly önkormányzatainak Mikrotérségi Integrált Oktatási Intézményfenntartó Társulása nevében eljáró Bátaszék Város Önkormányzata,"Alsónyék, Pörböly, Bátaszék"
Községi Önkormányzat Tiszapüspöki,Tiszapüspöki
Települési Önkormányzat Nagydobos,Nagydobos
Hajdúböszörmény Bocskai Téri Református Egyházközség,"Hajdúböszörmény, Bocska"
Nemzetiségi Nyelvet Oktató Általános Iskola Felsőcsatár Intézményfenntartó Társulása nevében eljáró Felsőcsatár Község Önkormányzata mint Gesztor,Felsőcsatár
"Hédervár, Lipót és Mecsér községek közoktatási Intézménytársulása nevében Hédervár község Önkormányzata","Lipót, Mecsér, Hédervár"
Közoktatási Intézményfenntartó Társulás nevében Tószeg Község Önkormányzata mint gesztor.,Tószeg
Hajdúszoboszló Város Önkormányzata,Hajdúszoboszló
"Sükösd-Érsekcsanád Közoktatási Intézményfenntartó Társulás nevében eljáró Sükösd Nagyközség Önkormányzata, mint gesztor","Sükösd, Érsekcsanád"
Tiszabecs-Uszka-Magosliget Intézményfenntartó Társulás nevében Tiszabecs Nagyközség Önkormányzata,"Magosliget, Tiszabecs, Uszka"
